framework_short_name,lot_number,salesforce_id,supplier_name
RM1043iii,1,001b000003OCeGcAAL,Levita Ltd,
RM1043iii,2,001b000003OCeGcAAL,Levita Ltd,
RM1043iii,1,001b000003OCeGpAAL,Marvell Consulting Limited
RM1043iii,2,001b000003OCeGpAAL,Marvell Consulting Limited
RM1043iii,1,001b000003OCeJdAAL,Syniad IT Solutions Ltd
RM1043iii,2,001b000003OCeJdAAL,Syniad IT Solutions Ltd
RM1043iii,1,001b000003OCeJnAAL,TECHBIOSIS LIMITED
RM1043iii,2,001b000003OCeJnAAL,TECHBIOSIS LIMITED
RM1043iii,1,001b000003OCeK6AAL,Times Resources Limited
RM1043iii,2,001b000003OCeK6AAL,Times Resources Limited
RM1043iv,1,0010N000046HHWPQA4,CENTURYLINK LIMITED
RM1043iv,2,0010N000046HHWPQA4,CENTURYLINK LIMITED
RM1043iv,1,001b000003anLBsAAM,Pilot Works Ltd
RM1043iv,2,001b000003anLBsAAM,Pilot Works Ltd
RM1043iv,4,001b000003anLBsAAM,Pilot Works Ltd
RM1043iv,1,001b000003g771WAAQ,Codify Ltd,
RM1043iv,1,001b000003g7zh8AAA,JRM CONSULT
RM1043iv,2,001b000003g7zh8AAA,JRM CONSULT
RM1043iv,2,001b000003g7zhFAAQ,Visceral Business: Networked Organisation Design,
RM1043iv,1,001b000003g7zhKAAQ,Snap Lab Ltd
RM1043iv,2,001b000003g7zhKAAQ,Snap Lab Ltd
RM1043iv,1,001b000003g7zhuAAA,NCC Services Limited. Trading as NCC Group.,
RM1043iv,2,001b000003g7zhuAAA,NCC Services Limited. Trading as NCC Group.,
RM1043iv,1,001b000003g7zhVAAQ,UNLOQ Systems Ltd.,
RM1043iv,1,001b000003g7zi0AAA,Paper
RM1043iv,2,001b000003g7zi0AAA,Paper
RM1043iv,4,001b000003g7zi0AAA,Paper
RM1043iv,1,001b000003g7zi6AAA,Aker Systems Limited
RM1043iv,2,001b000003g7zi6AAA,Aker Systems Limited
RM1043iv,2,001b000003g7zibAAA,JC Web Services Limited
RM1043iv,1,001b000003g7zirAAA,IMD CONSULTANCY
RM1043iv,2,001b000003g7zirAAA,IMD CONSULTANCY
RM1043iv,4,001b000003g7zirAAA,IMD CONSULTANCY
RM1043iv,1,001b000003g7zisAAA,Mace & Menter,
RM1043iv,2,001b000003g7zisAAA,Mace & Menter,
RM1043iv,1,001b000003g7zjEAAQ,User Central Ltd
RM1043iv,2,001b000003g7zjjAAA,Datahub Tech Ltd,
