URN,CustomerName,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10038469,NHS England (Cumbria & North East),Old Exchange Barnard Street,Darlington,County Durham,Darlington,County Durham,England,DL3 7DR,Central Government,Executive non-departmental public body,True
10038087,Human Tissue Authority,151 Buckingham Palace Road,London,Greater London,London,Greater London,England,SW1W 9SZ,Central Government,Executive non-departmental public body,True
10037627,Health Education England (Leeds),Quarry House Quarry Hill,Leeds,West Yorkshire,Leeds,West Yorkshire,England,LS2 7UE,Central Government,Executive non-departmental public body,True
10036876,Supreme Court of the United Kingdom,Parliament Square,London,Greater London,London,Greater London,England,SW1P 3BD,Central Government,,True
10036746,Health Research Authority,Skipton House 80 London Road,London,Greater London,London,Greater London,England,SE1 6LH,Central Government,Executive non-departmental public body,True
10036673,Corporate Performance Group,Selborne House 55 Victoria Street,London,Greater London,London,Greater London,England,SW1E 6QW,Central Government,TBA,True
10036672,Judicial Policy Group,Selborne House 54 Victoria Street,London,Greater London,London,Greater London,England,SW1E 6QW,Central Government,TBA,True
10036671,Legal Services Consumer Panel,Level 7 Victoria House Southampton Row,London,Greater London,London,Greater London,England,WC1B 4AD,Central Government,TBA,True
10035752,Military Aviation Authority (MAA),"Elm 1b,#4126 Abbey Wood",Bristol,Avon,Bristol,Avon,England,BS34 8JH,Central Government,Other,True
10035709,Building Regulations Advisory Committee,Eland House Bressenden Place,London,Greater London,London,Greater London,England,SW1E5DU,Central Government,TBA,True
10035098,Parole Board,Grenadier House,London,Greater London,London,Greater London,England,SW1P 2DX,Central Government,Executive non-departmental public body,True
10035059,(DIO) Aspire Defence Services Limited,Aspire Business Centre Ordnance Road,Tidworth,Wiltshire,Tidworth,Wiltshire,England,SP9 7QD,Central Government,,True
10034746,Paradigm Services Limited (MoD 3rd Party Agents),1001 Skynet Drive Skynet Drive,CORSHAM,Wiltshire,CORSHAM,Wiltshire,England,SN13 9NP,Central Government,TBA,True
10034411,Aylesbury Magistrates Court,COURT ADMIN MNGR-COURT ADMIN MNGR WALTON ST,AYLESBURY,Buckinghamshire,AYLESBURY,Buckinghamshire,England,HP21 7QZ,Central Government,,True
10034345,NHS Blood And Transplant,Oak House Reeds Crescent,Watford,Herefordshire,Watford,Herefordshire,England,WD24 4QN,Central Government,Executive non-departmental public body,True
10033014,Upper Tribunals,102 Petty France,London,Greater London,London,Greater London,England,SW1H 9AJ,Central Government,TBA,True
10033013,First-Tier Tribunal (Estate Agents),45 Bedford Square,London,Greater London,London,Greater London,England,WC1B 3DN,Central Government,TBA,True
10033012,First-Tier Tribunal (Charity),Tribunals Operational Support Centre,Leicester,Leicestershire,Leicester,Leicestershire,England,LE1 6ZX,Central Government,TBA,True
10033011,First-Tier Tribunal (Consumer Credit),45 Bedford Square,London,Greater London,London,Greater London,England,WC1B 3DN,Central Government,TBA,True
10033010,First-Tier Tribunal (Primary Health Lists),Mowden Hall,Darlington,County Durham,Darlington,County Durham,England,DL3 9BG,Central Government,TBA,True
10033009,First-Tier Tribunal (Gambling Appeals),Tribunals Operational Support Centre,Leicester,Leicestershire,Leicester,Leicestershire,England,LE1 6ZX,Central Government,TBA,True
10033008,First-Tier Tribunal (Local Government Standards in England),York House,Leeds,West Yorkshire,Leeds,West Yorkshire,England,LS1 2ED,Central Government,TBA,True
