lot_number,salesforce_id,supplier_name,
2,001b000003lxVRRAA2,@ITS (SEARCH & SELECTION) LIMITED,
4,001b000003lxVRRAA2,@ITS (SEARCH & SELECTION) LIMITED,
1,001b000003YNcfSAAT,1 2 1 RECRUITMENT CONSULTANTS LIMITED,
2,001b000003YNcfSAAT,1 2 1 RECRUITMENT CONSULTANTS LIMITED,
4,001b000003YNcfSAAT,1 2 1 RECRUITMENT CONSULTANTS LIMITED,
1,001b000003g7zj7AAA,1 DEZOBUK IT LTD,
2,001b000003g7zj7AAA,1 DEZOBUK IT LTD,
1,0010N00004XKNBKQA5,101 WAYS LIMITED,
2,0010N00004XKNBKQA5,101 WAYS LIMITED,
1,001b000003YNcgZAAT,12 PILLARS LTD,
2,001b000003YNcgZAAT,12 PILLARS LTD,
1,001b000003OCccUAAT,1Spatial Ltd
2,001b000003OCccUAAT,1Spatial Ltd
2,0010N00004XKN80QAH,1ST ADVANCE LIMITED,
1,001b000003OCdb1AAD,1Tech Ltd
2,001b000003OCdb1AAD,1Tech Ltd
2,001b000003OCeBJAA1,2-sec Ltd,
1,001b000003OCcurAAD,2020 Delivery Ltd
2,001b000003OCcurAAD,2020 Delivery Ltd
1,0010N00004XKN8yQAH,21:12 COMMUNICATIONS LIMITED,
2,0010N00004XKN8yQAH,21:12 COMMUNICATIONS LIMITED,
1,0010N00004XKNBOQA5,235 DIGITAL LIMITED,
2,0010N00004XKNBOQA5,235 DIGITAL LIMITED,
1,001b000003g7zjSAAQ,2i Testing,
2,001b000003g7zjSAAQ,2i Testing,
1,0010N00004XKNFbQAP,2KV LIMITED,
2,0010N00004XKNFbQAP,2KV LIMITED,
2,0010N00004XKNGlQAP,2ND MAGPIE LTD,
1,001b000003OCdb3AAD,2T Security Ltd
2,001b000003OCdb3AAD,2T Security Ltd
1,0010N00004XKN8RQAX,3 G TELECOMMUNICATIONS LIMITED,
2,0010N00004XKN8RQAX,3 G TELECOMMUNICATIONS LIMITED,
1,001b000003g7zvKAAQ,344 Cyber Ltd,
2,001b000003g7zvKAAQ,344 Cyber Ltd,
1,001b000003OCe55AAD,360 Defence (UK) Limited
2,001b000003OCe55AAD,360 Defence (UK) Limited
1,001b000003XSdPTAA1,3C CONSULTANTS LTD,
2,001b000003XSdPTAA1,3C CONSULTANTS LTD,
1,0010N00004XKNCwQAP,3D JANE LIMITED,
2,0010N00004XKNCwQAP,3D JANE LIMITED,
1,0010N00004Pjx2GQAR,3DOT SOLUTIONS LIMITED,
2,0010N00004Pjx2GQAR,3DOT SOLUTIONS LIMITED,
1,001b000003OCeAZAA1,3SDL Ltd
2,001b000003OCeAZAA1,3SDL Ltd
1,0010N00004XKN9iQAH,3WHITEHATS LIMITED,
1,001b000003YNeZjAAL,4 ROADS LIMITED,
2,001b000003YNeZjAAL,4 ROADS LIMITED,
2,0010N00004XKN7tQAH,4-THOUGHT PROFESSIONAL SERVICES LIMITED,
1,001b000003OCe4dAAD,4OC Ltd
2,001b000003OCe4dAAD,4OC Ltd
4,001b000003OCe4dAAD,4OC Ltd
1,001b000003OCdtDAAT,4Secure,
2,001b000003OCdtDAAT,4Secure,
1,001b000003OCeBMAA1,4W Services Ltd,
2,001b000003OCeBMAA1,4W Services Ltd,
4,001b000003OCeBMAA1,4W Services Ltd,
1,0010N00004PjxLgQAJ,55TH PARALLEL LTD.
2,0010N00004PjxLgQAJ,55TH PARALLEL LTD.
2,0010N00004XKNELQA5,572 DIGITAL LIMITED,
1,0010N00004Pjx1XQAR,5R SOLUTIONS LTD
2,0010N00004Pjx1XQAR,5R SOLUTIONS LTD
4,0010N00004Pjx1XQAR,5R SOLUTIONS LTD
1,0010N00004XKNBtQAP,6B DIGITAL LTD,
1,001b000003OCdUXAA1,6point6 Ltd
2,001b000003OCdUXAA1,6point6 Ltd
2,0010N00004XKNBpQAP,8TH LIGHT LIMITED,
1,0010N00004XKNBPQA5,93DIGITAL LTD,
1,001b000003qmL6XAAU,A Cubed IT,
2,001b000003qmL6XAAU,A Cubed IT,
2,0010N00004XKNGnQAP,A FOWLER SERVICES LIMITED,
1,0010N00004XKNFiQAP,A LITTLE CHANGE LIMITED,
2,0010N00004XKNFiQAP,A LITTLE CHANGE LIMITED,
1,0010N00004XKNEtQAP,A&A DIGITAL TECH LTD,
2,0010N00004XKNEtQAP,A&A DIGITAL TECH LTD,
1,001b000003YNlcXAAT,A2Z TECHNOLOGIES LTD,
2,001b000003YNlcXAAT,A2Z TECHNOLOGIES LTD,
4,001b000003YNlcXAAT,A2Z TECHNOLOGIES LTD,
