URN,CustomerName,Acronym,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10005168,Staffordshire Buddies,,9 Birch Terrace,Hanley,,Stoke on Trent,Staffordshire                 ,England                       ,ST1 3JN,Wider Public Sector,Private Sector Enabler,False
10004983,Bath H Co-Op Ltd,,23 Bennett Street,,,Bath,Somerset                      ,England                       ,BA1 2QL,Wider Public Sector,Private Sector Enabler,False
10004836,Holmview,,Skomer Rd,,,Barry,South Glamorgan               ,Wales                         ,CF62 9DA,Wider Public Sector,Private Sector Enabler,False
10004662,Hearing Dogs For The Deaf,," The Training Centre London Rd (A40),",Lewknor,,Watlington,Oxfordshire                   ,England                       ,OX49 5RY,Wider Public Sector,Private Sector Enabler,False
10004517,York City Council,,Guildhall,,,York,North Yorkshire               ,England                       ,YO1 1QN,Wider Public Sector,Region: Yorkshire & Humberside,False
10004376,Terrington Lodge,,Lynn Road,Terrington St Clement,,KING'S LYNN,Norfolk                       ,England                       ,PE34 4JX,Wider Public Sector,Private Sector Enabler,False
10004168,CREA,,Woodlawn,,,Heanton,North Devon                   ,England                       ,EX31 4DC,Wider Public Sector,Private Sector Enabler,False
10003992,Merseyside and Cheshire Rent Assess Panel,,1st Floor Port of Liverpool Building,Pier Head,,Liverpool,Merseyside                    ,England                       ,L3 1BY,Wider Public Sector,Private Sector Enabler,False
10003842,Henry Nihill House,,94 Priory Field Drive,94 Priory Field Drive,,Edgware,Middlesex                     ,England                       ,HA8 9PU,Wider Public Sector,Private Sector Enabler,False
10003686,Lincolnshire Visual Impairment Services,,Elmer House,Finkin Street,,Grantham,Lincolnshire                  ,England                       ,NQ31 6QZ,Wider Public Sector,Private Sector Enabler,False
10003517,Studio The,,123 Princes Reach,Navigation Way,,Preston,,England                       ,PR2 2GD,Wider Public Sector,Private Sector Enabler,False
10003331,Cumbria and Lancashire SHA,,3 Caxton Road,Fulwood,,Preston,,England                       ,PR2 9ZZ,Wider Public Sector,Private Sector Enabler,False
10003128,QM 1 Prince Of Wales Royal Regt,,Howe Barracks,Buiding 12 Howe Barracks,Littlebourne Road,Canterbury,Kent                          ,England                       ,CT1 1JU,Wider Public Sector,Private Sector Enabler,False
10002949,Chatham Grammar School For Boys,,Maidstone Rd,,,Chatham,Kent                          ,England                       ,ME14 1ED,Wider Public Sector,Private Sector Enabler,False
10002780,Herefordshire Commercial Services,,Unit 3,Thorn Business Park,Rotherwas Industrial Estate,Hereford,Herefordshire                 ,England                       ,HR2 6JT,Wider Public Sector,Private Sector Enabler,False
